questid,queststate,itemid,itemnumber,actiontype
1,5,8008,1,5
3,3,6023,10,3
3,3,6023,10,3
3,3,6023,10,3
3,3,8010,1,5
4,4,6022,1,5
4,5,8011,1,5
7,0,6005,20,3
8,0,6038,20,3
8,0,60,1,5
8,1,6038,20,3
8,1,60,1,5
8,2,6038,20,3
8,2,60,1,5
13,0,6006,50,3
13,0,8504,1,5
13,0,8504,1,5
13,0,8504,1,5
13,0,8504,1,5
14,0,6009,20,3
15,0,6007,20,3
16,0,6008,1,3
17,0,6010,10,3
17,0,34,1,5
17,0,34,1,5
17,0,34,1,5
17,0,34,1,5
18,0,6012,1,3
18,1,6012,1,3
18,2,6012,1,3
19,0,6026,20,3
20,0,6025,25,3
20,0,8500,1,5
20,0,8500,1,5
21,0,6039,15,3
21,0,8502,1,5
21,0,8502,1,5
21,1,6039,15,3
21,1,8502,1,5
21,1,8502,1,5
21,2,6039,15,3
21,2,8502,1,5
21,2,8502,1,5
22,0,6031,1,3
22,0,6031,1,3
22,0,4801,1,5
22,1,6031,1,3
22,1,6031,1,3
22,1,4801,1,5
23,0,6033,10,3
24,0,6034,15,3
24,0,2827,5,5
24,0,2827,5,5
25,0,6040,6,3
25,0,6035,1,5
26,0,6041,8,3
26,0,6036,1,5
27,0,6043,1,3
27,0,6037,1,5
27,1,6043,1,3
27,1,6037,1,5
28,0,6044,20,3
28,0,6045,1,5
29,0,6046,1,3
29,1,6046,1,3
30,0,6047,10,3
31,0,6049,3,3
31,0,2808,5,5
31,0,2808,5,5
31,1,6049,3,3
31,1,2808,5,5
31,1,2808,5,5
31,2,6049,3,3
31,2,2808,5,5
31,2,2808,5,5
32,0,6050,1,3
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,0,38,1,5
32,1,6050,1,3
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,1,38,1,5
32,2,6050,1,3
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
32,2,38,1,5
33,0,6052,1,3
33,1,6052,1,3
34,0,6055,1,5
34,1,6055,1,5
34,2,6055,1,5
34,3,6055,1,5
34,4,6055,1,5
35,0,6054,1,3
35,0,5102,1,5
35,1,6054,1,3
35,1,5102,1,5
35,2,6054,1,3
35,2,5102,1,5
36,0,6056,10,3
37,0,6057,1,3
37,1,6057,1,3
38,0,6058,1,3
38,0,2567,1,5
40,0,6059,1,3
40,0,6059,1,3
40,0,6059,1,3
40,0,6062,1,5
40,1,6059,1,3
40,1,6059,1,3
40,1,6059,1,3
40,1,6062,1,5
40,2,6059,1,3
40,2,6059,1,3
40,2,6059,1,3
40,2,6062,1,5
40,3,6059,1,3
40,3,6059,1,3
40,3,6059,1,3
40,3,6062,1,5
40,4,6059,1,3
40,4,6059,1,3
40,4,6059,1,3
40,4,6062,1,5
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
42,0,10233,6,3
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10233,1,1
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,0,10239,1,3
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10233,1,1
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,1,10239,1,3
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10233,1,1
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,2,10239,1,3
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10233,1,1
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,3,10239,1,3
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10233,1,1
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
43,4,10239,1,3
44,0,10249,1,1
44,0,10250,1,3
44,0,10250,1,3
44,0,10250,1,3
44,1,10249,1,1
44,1,10250,1,3
44,1,10250,1,3
44,1,10250,1,3
44,2,10249,1,1
44,2,10250,1,3
44,2,10250,1,3
44,2,10250,1,3
45,0,10253,1,1
45,0,10254,1,3
53,0,4803,1,5
54,0,2950,10,3
54,0,2950,10,3
54,0,2950,10,3
54,0,2950,10,4
54,0,2950,10,4
54,0,2950,10,4
54,0,4803,1,5
55,0,10387,1,3
55,0,10387,1,4
55,0,10388,1,5
55,0,10388,1,5
56,0,10388,1,3
56,0,10388,1,4
56,0,10209,1,5
56,0,10209,1,5
56,0,10209,1,5
57,0,10389,1,5
58,0,10389,1,1
58,0,10390,1,3
58,0,10389,-1,4
59,0,10390,1,3
59,0,10390,-1,4
59,0,10391,1,5
60,0,10391,1,1
60,0,10245,1,3
60,0,10245,-1,4
60,0,10245,-1,4
60,0,10249,1,5
61,0,10249,1,1
61,0,10254,1,3
61,0,10254,-1,4
61,0,10254,-1,4
62,0,10389,1,5
63,0,10389,1,1
63,0,10392,1,3
63,0,10389,-1,4
64,0,10392,1,3
64,0,10392,-1,4
64,0,10391,1,5
65,0,10391,1,1
65,0,10393,8,3
65,0,10393,-1,4
65,0,10393,-1,4
65,0,10249,1,5
66,0,10249,1,1
66,0,10254,1,3
66,0,10254,-1,4
66,0,10254,-1,4
67,0,10394,1,3
67,0,10394,1,4
67,0,10395,1,5
68,0,10396,1,3
68,0,10396,1,3
68,0,10396,1,3
68,0,10396,-1,4
68,0,10396,-1,4
68,0,10396,-1,4
70,0,10400,1,3
70,0,10400,1,3
70,0,10400,-1,4
70,0,10400,-1,4
70,0,10402,1,5
70,0,10402,1,5
71,0,10403,15,3
71,0,10403,15,3
71,0,10403,-1,4
71,0,10403,-1,4
72,0,10406,10,3
72,0,10406,10,3
72,0,10406,-1,4
72,0,10406,-1,4
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
72,0,10408,1,5
73,0,10415,30,3
73,0,10415,-1,4
74,0,10416,30,3
75,0,10417,10,3
75,0,10417,10,4
75,0,10421,1,5
76,0,10416,30,3
76,0,10416,30,3
76,0,10416,-1,4
76,0,10416,-1,4
76,0,10417,10,5
78,0,10418,1,5
80,0,18096,20,3
80,0,18096,-1,4
80,0,18099,1,5
81,0,18097,20,3
81,0,18097,-1,4
81,0,18100,1,5
82,0,18098,20,3
82,0,18098,-1,4
82,0,18101,1,5
83,0,18102,1,3
83,0,18102,-1,4
84,0,18103,1,3
84,0,18103,-1,4
85,0,18104,5,3
85,0,18104,-1,4
87,0,18105,6,3
87,0,18105,-1,4
87,0,2550,10,5
87,0,2550,10,5
88,0,18107,1,3
88,0,18106,-1,4
88,0,18106,-1,4
88,0,18106,-1,4
90,0,18109,1,5
91,0,18109,1,1
91,0,18110,1,5
92,0,18109,1,1
92,0,18109,1,1
92,0,18111,1,3
92,0,18109,-1,4
92,0,18109,-1,4
92,0,18109,-1,4
93,0,18112,10,3
93,0,18112,-1,4
94,0,18113,10,3
94,0,18113,-1,4
96,0,18114,10,3
96,0,18114,10,3
96,0,18114,10,3
96,0,18114,-1,4
96,0,18114,-1,4
96,0,18114,-1,4
96,0,6057,1,5
97,0,6057,1,3
97,0,6057,-1,4
98,0,18117,500,3
98,0,18117,500,4
98,0,18118,1,5
99,0,18117,300,3
99,0,18117,300,4
99,0,18119,1,5
100,0,18117,100,3
100,0,18117,100,4
100,0,18120,1,5
103,0,18121,1,5
104,0,18121,1,1
104,0,18122,1,3
104,0,18122,-1,4
104,0,18122,-1,4
105,0,18123,1,3
105,0,18123,-1,4
106,0,18124,100,3
106,0,18124,100,4
106,0,18125,1,5
107,0,18133,1,3
107,0,18133,1,3
107,0,18133,-1,4
107,0,18133,-1,4
107,0,18135,1,5
108,0,18136,1,3
108,0,18136,1,3
108,0,18136,-1,4
108,0,18136,-1,4
108,0,18138,1,5
109,0,18139,1,3
109,0,18139,1,3
109,0,18139,-1,4
109,0,18139,-1,4
109,0,18141,1,5
110,0,18146,1,3
110,0,18146,-1,4
110,0,18145,1,5
111,0,18147,7,3
111,0,18147,-1,4
112,0,18148,1,3
112,0,18148,-1,4
113,0,18149,22,3
113,0,18149,-1,4
114,0,18150,1,2
114,0,18150,1,3
114,0,18150,-1,4
114,0,2579,1,5
117,0,6048,15,3
117,0,6048,-1,4
118,0,18157,1,3
118,0,18157,-1,4
119,0,18160,1000,3
119,0,18160,1000,4
119,0,18161,1,5
120,0,18160,600,3
120,0,18160,600,4
120,0,18162,1,5
121,0,18160,350,3
121,0,18160,350,4
121,0,18163,1,5
152,0,2950,10,3
152,0,2950,10,3
152,0,2950,10,3
152,0,2950,10,4
152,0,2950,10,4
152,0,2950,10,4
153,0,10387,1,3
153,0,10387,1,4
153,0,10388,1,5
154,0,10388,1,3
154,0,10388,1,4
154,0,10209,1,5
154,0,10209,1,5
154,0,10209,1,5
156,0,2951,10,3
156,0,2951,10,3
156,0,2951,10,3
156,0,2951,10,4
156,0,2951,10,4
156,0,2951,10,4
157,0,10387,1,3
157,0,10387,1,4
157,0,10388,1,5
158,0,10388,1,3
158,0,10388,1,4
158,0,10209,1,5
158,0,10209,1,5
158,0,10209,1,5
159,0,4803,1,5
160,0,2950,10,3
160,0,2950,10,3
160,0,2950,10,3
160,0,2950,10,4
160,0,2950,10,4
160,0,2950,10,4
160,0,4803,1,5
161,0,10387,1,3
161,0,10387,1,4
161,0,10388,1,5
161,0,10388,1,5
162,0,10388,1,3
162,0,10388,1,4
162,0,10209,1,5
162,0,10209,1,5
162,0,10209,1,5
500,0,2953,1,1
500,0,2953,5,4
500,0,2953,5,4
500,0,26,1,5
501,0,2953,5,3
501,0,2953,5,4
501,0,32,2,5
501,0,32,2,5
501,0,32,2,5
501,0,32,2,5
502,0,2953,5,3
502,0,2953,5,4
502,0,26,1,5
502,0,26,1,5
502,0,26,1,5
1000,0,6206,1,3
1000,0,6206,1,3
1000,0,6206,1,3
1001,0,6201,1,3
1001,1,6201,1,3
1001,2,6201,1,3
1001,3,6201,1,3
1001,4,6201,1,3
1001,5,6201,1,3
1001,6,6201,1,3
1001,7,6201,1,3
1001,8,6201,1,3
1001,9,6201,1,3
1001,10,6201,1,3
1001,11,6201,1,3
1001,12,6201,1,3
1001,13,6201,1,3
1002,0,6203,50,3
1002,1,6203,50,3
1002,2,6203,50,3
1002,3,6203,50,3
1002,4,6203,50,3
1002,5,6203,50,3
1002,6,6203,50,3
1002,7,6203,50,3
1003,0,6205,1,3
1003,1,6205,1,3
1003,2,6205,1,3
1003,3,6205,1,3
1003,4,6205,1,3
1003,5,6205,1,3
1003,6,6205,1,3
1003,7,6205,1,3
1004,0,6210,1,3
1004,1,6210,1,3
1004,2,6210,1,3
1004,3,6210,1,3
1004,4,6210,1,3
1006,0,6223,50,3
1007,0,6224,50,3
1008,0,6225,50,3
1009,0,6225,50,3
1010,0,6224,50,3
1011,0,6228,50,3
1014,0,6234,5,3
1015,0,6235,5,3
1016,0,6236,5,3
1017,0,18126,1,3
1017,0,18126,-1,4
1018,0,18127,5,3
1018,0,18127,5,3
1018,0,18127,5,3
1018,0,18127,-1,4
1018,0,18127,-1,4
1018,0,18127,-1,4
1018,0,18130,1,5
1019,0,18130,-1,1
1019,0,18131,1,5
1020,0,18130,1,1
1020,0,18130,1,1
1020,0,18130,1,3
1020,0,18130,1,3
1020,0,18130,-1,4
1020,0,18130,-1,4
1021,0,18132,1,3
1021,0,18132,-1,4
1023,0,18142,1,2
1023,0,18142,1,3
1024,0,18142,1,1
1024,0,18142,1,3
1024,0,18142,1,3
1024,0,18142,-1,4
1024,0,18142,-1,4
1025,0,18144,1,2
1025,0,18144,1,3
1025,0,18144,-1,4
1026,0,18151,1,2
1026,0,18151,1,3
1026,0,18151,-1,4
1027,0,18152,1,3
1027,0,18152,-1,4
1028,0,18153,1,3
1028,0,18153,1,3
1029,0,18153,1,1
1029,0,18153,1,1
1029,0,18153,1,3
1029,0,18153,1,3
1029,0,18153,-1,4
1029,0,18153,-1,4
1030,0,18155,1,2
1030,0,18155,1,3
1030,0,18155,-1,4
1031,0,18156,1,2
1031,0,18156,1,3
1031,0,18156,-1,4
2000,0,2953,5,3
2000,0,2953,5,4
2001,0,6070,10,3
2001,0,6070,10,4
2002,0,6071,10,3
2002,0,6071,10,4
2003,0,2974,7,3
2003,0,2974,7,4
2004,0,2954,7,3
2004,0,2954,7,4
2005,0,2955,10,3
2005,0,2955,10,4
2006,0,2956,10,3
2006,0,2956,10,4
2006,0,2547,20,5
2007,0,2957,12,3
2007,0,2957,12,4
2007,0,2533,20,5
2008,0,6069,10,3
2008,0,6069,10,4
2008,0,2807,20,5
2009,0,2958,14,3
2009,0,2958,14,4
2009,0,4805,20,5
2010,0,2959,15,3
2010,0,2959,15,4
2011,0,2960,15,3
2011,0,2960,15,4
2012,0,2969,17,3
2012,0,2969,17,4
2013,0,6072,20,3
2013,0,6072,20,4
2014,0,2962,17,3
2014,0,2962,17,4
2015,0,6070,30,3
2015,0,6070,30,4
2016,0,2961,30,3
2016,0,2961,30,4
2017,0,2975,30,3
2017,0,2975,30,4
2018,0,2976,30,3
2018,0,2976,30,4
2019,0,2963,30,3
2019,0,2963,30,4
2020,0,2977,30,3
2020,0,2977,30,4
2021,0,2978,30,3
2021,0,2978,30,4
2022,0,2964,35,3
2022,0,2964,35,4
2023,0,2968,35,3
2023,0,2968,35,4
2024,0,2972,35,3
2024,0,2972,35,4
2025,0,2965,35,3
2025,0,2965,35,4
2026,0,2966,35,3
2026,0,2966,35,4
2027,0,2979,40,3
2027,0,2979,40,4
2028,0,2973,40,3
2028,0,2973,40,4
2029,0,2980,40,3
2029,0,2980,40,4
2030,0,2981,40,3
2030,0,2981,40,4
2031,0,2982,40,3
2031,0,2982,40,4
2032,0,2996,45,3
2032,0,2996,45,4
2033,0,2971,45,3
2033,0,2971,45,4
2034,0,2983,45,3
2034,0,2983,45,4
2035,0,2997,45,3
2035,0,2997,45,4
2036,0,2984,45,3
2036,0,2984,45,4
2037,0,2985,45,3
2037,0,2985,45,4
2038,0,2998,45,3
2038,0,2998,45,4
2039,0,2986,45,3
2039,0,2986,45,4
2040,0,2987,50,3
2040,0,2987,50,4
2041,0,2999,50,3
2041,0,2999,50,4
2042,0,2988,50,3
2042,0,2988,50,4
2043,0,3000,50,3
2043,0,3000,50,4
2044,0,3001,50,3
2044,0,3001,50,4
2045,0,3002,55,3
2045,0,3002,55,4
2046,0,3003,55,3
2046,0,3003,55,4
2047,0,3004,55,3
2047,0,3004,55,4
2048,0,3005,60,3
2048,0,3005,60,4
2049,0,3006,60,3
2049,0,3006,60,4
2050,0,3007,60,3
2050,0,3007,60,4
2051,0,3008,60,3
2051,0,3008,60,4
2052,0,3009,100,3
2052,0,3009,100,4
4034,0,10386,10,3
4034,0,10386,10,4
4035,0,10386,30,3
4035,0,10386,30,4
4035,0,10422,1,5
1,1,6013,1,5
1,2,6013,1,3
1,2,6013,1,4
1,4,6001,10,4
1,4,6001,10,3
1,4,6014,1,5
1,5,6014,1,3
1,5,6014,1,4
4,4,6021,10,3
4,4,6021,10,4
4,5,6022,1,3
4,5,6022,1,4
